"","id","player_fifa_api_id","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","EMC$class"
"9625",3636,177529,41399,55,56,"right","medium","high",38,41,36,51,53,72,42,29,49,59,68,77,70,32,80,34,76,36,40,31,61,76,45,68,29,68,73,72,9,7,49,11,12,2
"9626",14360,53409,24509,69,77,"left","medium","high",39,33,79,61,26,28,22,21,49,60,68,71,50,54,72,40,85,77,75,24,76,69,70,51,58,64,69,67,6,21,49,21,21,2
"9627",17608,163824,24948,81,81,"right","medium","high",32,37,82,70,34,57,34,23,74,69,68,72,58,79,59,64,86,73,86,40,83,83,28,53,45,76,85,79,7,10,16,7,10,1
"9628",17609,163824,24948,81,81,"right","medium","high",32,37,82,70,34,57,34,23,74,69,68,74,58,77,59,64,86,73,86,40,83,83,28,53,45,76,85,79,7,10,16,7,10,1
"9629",7329,157503,23678,83,85,"right","medium","high",63,63,73,84,53,76,57,41,80,79,68,75,70,83,63,68,71,87,86,42,87,86,62,83,66,80,81,75,8,12,15,11,12,1
"9630",7330,157503,23678,83,85,"right","medium","high",63,63,73,84,53,76,57,41,80,79,68,75,70,83,63,68,71,87,86,42,87,86,62,83,66,80,81,75,8,12,15,11,12,1
"9631",7331,157503,23678,83,84,"right","medium","high",63,63,73,83,53,76,57,41,78,78,68,75,70,83,63,68,71,87,85,42,86,86,62,82,66,78,80,75,8,12,15,11,12,1
"9632",7332,157503,23678,83,84,"right","medium","high",63,63,73,83,53,76,57,41,78,78,68,75,70,83,63,68,71,87,85,42,86,86,62,82,66,78,80,75,8,12,15,11,12,1
"9633",7333,157503,23678,82,85,"right","medium","high",63,63,73,80,53,76,49,41,73,79,68,75,70,83,63,68,71,87,85,42,86,86,62,77,66,81,83,78,8,12,15,11,12,1
"9634",7334,157503,23678,82,84,"right","medium","high",63,63,73,80,53,76,49,41,73,79,68,75,70,83,63,68,71,87,85,42,86,86,62,77,66,81,83,78,8,12,15,11,12,1
"9635",12519,181381,45435,62,65,"right","medium","high",60,44,64,64,50,57,52,44,62,63,68,51,64,67,73,65,75,82,72,62,78,55,59,61,53,51,58,61,7,13,15,13,8,1
"9636",12520,181381,45435,62,65,"right","medium","high",60,44,64,64,50,57,52,44,62,61,68,51,64,67,73,65,75,82,72,62,78,55,59,61,57,51,58,61,7,13,15,13,8,1
"9637",12521,181381,45435,62,65,"right","medium","high",60,44,64,64,50,57,52,44,62,63,68,51,64,67,73,65,75,82,72,62,78,55,59,61,53,51,58,61,7,13,15,13,8,1
"9638",12522,181381,45435,62,65,"right","medium","high",60,44,64,64,50,57,52,44,62,63,68,51,64,67,73,65,75,82,72,62,78,55,59,61,53,51,58,61,7,13,15,13,8,1
"9639",12523,181381,45435,61,68,"right","medium","high",60,44,64,64,50,54,52,44,62,63,68,51,64,67,73,63,75,82,72,58,78,55,49,61,53,57,60,61,7,13,15,13,8,1
"9640",12528,181381,45435,63,70,"right","medium","high",62,46,66,66,52,56,54,46,64,65,68,51,64,69,73,65,75,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9641",12529,181381,45435,63,70,"right","medium","high",62,46,66,66,52,56,54,46,64,65,68,51,64,69,73,65,75,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9642",12530,181381,45435,63,70,"right","medium","high",62,46,66,66,52,56,54,46,64,65,68,51,64,69,73,65,75,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9643",12531,181381,45435,62,70,"right","medium","high",62,46,66,66,52,56,54,46,64,65,68,51,64,69,73,65,66,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9644",12532,181381,45435,62,70,"right","medium","high",62,46,66,66,52,56,54,46,64,65,68,62,64,69,73,65,66,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9645",12533,181381,45435,62,70,"right","medium","high",52,46,66,66,52,56,40,46,64,65,68,52,64,69,73,65,66,79,72,60,80,57,51,63,55,57,60,61,7,13,15,13,8,1
"9646",16535,205175,277460,63,77,"left","medium","high",40,65,76,68,41,54,62,61,48,66,68,68,64,68,63,55,76,52,60,45,67,25,70,60,65,32,29,30,8,15,15,14,5,4
"9647",4637,110652,37920,75,75,"left","medium","high",78,60,64,78,59,72,79,60,76,80,68,65,67,75,69,77,63,65,73,74,32,75,70,78,53,70,75,66,7,5,14,10,6,4
"9648",4638,110652,37920,75,75,"left","medium","high",78,60,64,78,59,72,79,60,76,80,68,65,67,75,69,77,63,65,73,74,32,75,70,78,53,70,75,66,7,5,14,10,6,4
"9649",10154,199986,213814,70,74,"right","medium","high",73,25,68,55,28,57,51,59,56,66,68,76,59,67,68,73,75,78,79,41,83,70,47,56,46,65,73,66,13,7,14,12,8,1
"9650",10155,199986,213814,68,72,"right","medium","high",71,25,58,55,28,57,51,59,56,66,68,74,59,64,68,73,75,81,79,41,77,68,47,56,46,65,73,66,13,7,14,12,8,1
